"","vtitle","vpoint","vreview"
"2770","극장판 귀멸의 칼날: 무한열차편","10","어렸을 때 정말 재밌게 본 영화죠~ 유덕화, 임청하 멋있어요. 이화궁중도 멋있고~~"
"2771","루킹 글라스","7","singin'in the rain~고전 뮤지컬영화는 역시 굿탭댄스를 추는 장면이 제일 좋았다"
"2772","극장판 귀멸의 칼날: 무한열차편","10","극단적으로 표현했지만 우리 인생과 같다.주변을 돌아보게 되는 영화"
"2773","클로젯","8","감독이 뭔가 너무 가르치고 싶어하는듯... 물론 끄덕여지는것은 있으나 현재를 살라는 내용의 명상 자기계발 이런것도 워낙 많아그런가  메세지도 약간 진부음악과 영상은 좋음 ^^"
"2774","수상한 가족","10","다 필요없고 영화관에서 남자 둘이서 봄요"
"2775","톰과 제리","8","중반까진 루즈한면이 있지만 후반부로 갈수록 재밌어요"
"2776","극장판 귀멸의 칼날: 무한열차편","9","무시라....ㄷㄷㄷ 낮에 오시면 안 될까요 ㄷ"
"2777","세자매","10","미소머금고 보다가 눈물 흘렸어요..친구들도 멋져요"
"2778","해리 포터와 마법사의 돌","10","스토리 ost 연기 다 너무 좋았던 영화"
"2779","검객","10","난 걍 클로이모레츠 볼려고 봄~너무져아 ^^"
"2780","극장판 귀멸의 칼날: 무한열차편","8","QT 영화를 좋아한다면 꿀잼. 재키 브라운을 못봤네.."
"2781","루킹 글라스","10","조니뎁 영원하리~~~ 완전잼"
"2782","극장판 귀멸의 칼날: 무한열차편","10","우선 마지막 전투씬이 대박, 역대급이라 할 수 있음그리고 시대별 최고의 사망스토리로 1990년대 야이바 구슬의 시련-친구들의 희생, 2000년대 쵸파 dr.히루루크-사람이 언제 죽는다 생각하느냐, 2010년대 에이스-칠칠치 못한 나를 사랑해줘서 고마워, 2020년대 쿄지로-가슴으로 불태워라르ㅡ 정리할 수 있음"
"2783","클로젯","10","왤케 평점이 낮지? 조작인가? 볼만한데... 10점까지는 아니지만 이정도 평점은 아니어서 평점좀 올려야겠어요"
"2784","수상한 가족","8","고교시절의 기억들이 아름다웠어요."
"2785","톰과 제리","10",""
"2786","극장판 귀멸의 칼날: 무한열차편","10",""
"2787","세자매","10",""
"2788","해리 포터와 마법사의 돌","2","돈준다해도 안봐 이색 대체뭔데 이리까지 하냐?"
"2789","검객","10","와 눈도 안깜빡이고봄... ㅋㅋㅋ 액션 지렷다ㅠㅠㅠ"
"2790","극장판 귀멸의 칼날: 무한열차편","10","케빈 스페이시의 정감가는 얼굴때문인지 더욱 감동은 증폭된다."
"2791","루킹 글라스","1","일본영화임. 끝"
"2792","극장판 귀멸의 칼날: 무한열차편","10","화려한 영상미에서 힘이 느껴지네요. 감동과재미다잡았네요."
"2793","클로젯","10","아진짜 뭐야... 이 띵작...아무생각없이 넷플에서 호감배우 차태현님 때문애 봤는데 ㅜ.ㅜ차태현님 작품 보는 눈 수준이 높은건가?왜 다 감동적인거임 ㅜ.ㅜ 개꿀잼 강추입니다!!!한번 보고 두번 보시고, 세번도 보세요!"
"2794","수상한 가족","10","울고싶은날 이영화보고 펑펑울었네요 나문희님 연기는 정말 100점드리고싶어요 여운이남네요 .."
"2795","톰과 제리","8","피해자들끼리의 복수란"
"2796","극장판 귀멸의 칼날: 무한열차편","1","와16분이나 봤네요 정신병 걸릴거 같아요음악이랑 화면이 약빠는 느낌보고나면 맨정신이 상쾌해져요"
"2797","세자매","9","너 나 잘 하 세 요 . 박찬욱 감독은 실망 시키지 않는다."
"2798","해리 포터와 마법사의 돌","10","돈안들이고 이정도면 뭐 선방했네...저 아저씨 첫 주연인데 조금 아쉽...ㅎㅎ"
"2799","검객","7","종교인들이 평점을 낮춘 것 같다."
"2800","극장판 귀멸의 칼날: 무한열차편","9","실화라니 정말 놀랍다. 생존하기 위해 얼마나 힘들고 좌절하고 포기하고 싶었을까. 내가 얀이라면 난 살 수 없었을 것 같다. 주인공을 도운 시민들도 정말 대단하다. 목숨걸고 구한건데 그럴 수 있을까? 영상도 너무 좋았고 일제강점기 생각도 나면서 이당시 노르웨이와 독일의 역사를 알 수 있었다. 전쟁은 없어져야하고 평화만 있는 세상이길 바란다. 얀이 궁금해서 검색해보니까 실제 그분과 결혼까지 하셨다니 정말이지 소설같은 사실이다. 추천한다."
"2801","루킹 글라스","10","왕가위 매력에 흠뻑 ,,, 넘나 사랑해요 ..."
"2802","극장판 귀멸의 칼날: 무한열차편","9",""
"2803","클로젯","10","왜 우리나라 평론가들은 ""중2병""에 걸렸는가?"
"2804","수상한 가족","6","중국 SF영화와의 차이점이 거의 없는 클리셰 투성이인 진짜 뻔한 내용의 영화 미국에서 이렇게 만들었다면 엄청 욕먹었을 영화...."
"2805","톰과 제리","6","정말 한국 배우썻으면 더 좋았지싶다^~^"
"2806","극장판 귀멸의 칼날: 무한열차편","10","이 영화보면서 21세기 전세계 언어학자들이 극찬하는 한글이 있기 까지 그리고 우리들에게 오기까지 많은 이들의 헌신과 봉사와 사명 덕분임을 알게되니 참으로 감사하고 고맙고 그럽니다. 그리고 책도 좋지만 영화야말로 대중에 널리 안알려졌었던 이야기를 전하는데 최고임을 알게 되네요. 영화제작진분들께도 감사합니다.^^"
"2807","세자매","10","무엇인가 닿을 듯 닿지 않는... 그러나, 그것이 주는 여운을 담아내는 이와이 슌지 감독다운 영화를 정말 오래간만에 마주했다. 대학생 무렵에 보았던 4월 이야기에서의 마츠 다카코가 이제는 중년의 아줌마가 된 것 처럼 비슷한 연배의 추억 이야기가 마치 과거에 경험했던 여운과 감동으로 또다시 느껴졌다. 20여년의 세월 후에 이런 작품을 또 다시 볼 수 있기를..."
"2808","해리 포터와 마법사의 돌","10","그냥 개쩐다 이거는... 안본 시절로 돌라가고 싶다"
"2809","검객","10","감동그자체 강추 말로 표현을 못하겠다"
"2810","극장판 귀멸의 칼날: 무한열차편","10","염주 죽은거 에바야...."
"2811","루킹 글라스","6","분수를 알고 삽시다. 지나친 열정은 욕심으로 발전한다."
"2812","극장판 귀멸의 칼날: 무한열차편","6","늘어지는 호흡과 클리셰가 몰입하기 힘들지만, 블록버스터의 가치는 한다"
"2813","클로젯","10","진짜 인생 영화일줄이야..진짜 인생 영화 맞았네요혼자 조용히 집중해서 또 보고싶은 영화에요"
"2814","수상한 가족","10","슈나이더가 백악관에 동지가 또 있다.라고 한순간 테드가 생각나면서 소름이 돋았다 . 안젤리나졸리 진짜 지구최강 멋있다"
"2815","톰과 제리","10","지금 순간이 최고인듯 살자"
"2816","극장판 귀멸의 칼날: 무한열차편","8","어이없는데 뭔가 웃겨요 ㅋ병맛웃음?ㅋ"
"2817","세자매","1","이 영화는 ""짱""입니다"
"2818","해리 포터와 마법사의 돌","10","스토리가 신선 미국에서는 실제로 이런가 싶기도 간만에 기대안하고 재밌게 본 작품"
"2819","검객","7","오랜만에 힐링되는 영화였다."
"2820","극장판 귀멸의 칼날: 무한열차편","1","최악의 영화. 이기주의의 극치"
"2821","루킹 글라스","8","마지막 반전은 예상 못했는걸"
"2822","극장판 귀멸의 칼날: 무한열차편","4","지금보면 배우라인업오지는데 흥행망함ㅋㅋ"
"2823","클로젯","10","아.. 진짜 이 영화 우연히 알게 되었는데.. 종교는 악귀들의 모임인가? 신의 뜻으로 사람을 죽인다??사람에게 그렇게 할 권한을 어떤 신이 주었단 말인가? 그런 신은 죄다 악귀이지.. 신이 아니다. 남자의 탐욕으로 죄없는 여인을 투석형으로 죽이다니.. 종교는 아무리 생각해도 사람에게 탐욕을 위해 존재하는 도구일뿐이라는 생각이다."
"2824","수상한 가족","10","아 잼나 너무 잼나 영국 느낌 분위기도 넘아 조아 영국 발음도 좋아"
"2825","톰과 제리","10","전시대 이시대 선생들이 꼭 봐야할 영화. 앞으로 자라나는 아이들에게 상처주지 말기를. 30년이 지난 지금도 국5때 당했던 기억에 마음이 아픕니다"
"2826","극장판 귀멸의 칼날: 무한열차편","1","숢먹는 반복된 장면 보기 싫어서 중간에 안봄"
"2827","세자매","1","완전 편파적 관점으로 있지도 않은 사실을 마치 실제인양 묘사하는 정치색이 짙은 친공 주의 영화네요...보다가 중단하게 되는 몇안되는 불후의 병작"
"2828","해리 포터와 마법사의 돌","10","알 이즈웰~~ 중독되어버렸다"
"2829","검객","1","이런거보면 정신건강에 해롭다분노때문에 보다가 껏다"
"2830","극장판 귀멸의 칼날: 무한열차편","10",""
"2831","루킹 글라스","10","그냥 너무너무 재밌게 봄"
"2832","극장판 귀멸의 칼날: 무한열차편","10","ㅋㅋB급감성 B급영화 하지만 아무 기대없이 보다가 많이 웃었다이경영ㅋㅋㅋ"
"2833","클로젯","1","사람한테 낚시바늘을 물게하는장면은 왜있는건지 쓸데없이"
"2834","수상한 가족","9","작년 개봉소식이 없어, 책으로 먼저 접하게 됐고, 오늘 영화로 다시 한번 이와이 슌지 감독님의 감성을 흠뻑 느끼고 왔습니다. 러브레터와 비슷하지만 다른 매력의 영화입니다."
"2835","톰과 제리","2","평범한 스토리 뭔가 애매한 비쥬얼...승리호의 그래픽은 그냥 꽃님이가 전부임 초반 cg괜찮네 하지만 그냥 모든 부분이 뭔가 빠진듯한 느낌이 너무 강하게 듬. 뭐...이런부분은 전부 헐리웃 영화랑 비교해서지만 극장 개봉이면  아마 안봤을듯"
"2836","극장판 귀멸의 칼날: 무한열차편","10","강한 사람이 무엇인지 알았다"
"2837","세자매","7","그럼에도 불구하고 삶은 이어진다. 시리아의 조속한 안정을 기원한다."
"2838","해리 포터와 마법사의 돌","9","친구가 완전 추천해줘서 보러갔는대 재밌었어요! 영상 연출이 진짜 대박이고 성우들 연기도 좋았구여 그림체가 동글동글 귀여워요 ㅠㅠ원래 일본애니 진짜 안좋아해서 안보는데 얘는 괜찮았네용~"
"2839","검객","10","이거 너무 재밌어요ㅠㅠ ost? 도 슬프고 제가 좋아하는 배우분들 많아서 좋았습니닷"
"2840","극장판 귀멸의 칼날: 무한열차편","10","이거 너무 재밌어요ㅠㅠ ost? 도 슬프고 제가 좋아하는 배우분들 많아서 좋았습니닷"
"2841","루킹 글라스","10","진짜 재밌습니다 어머니가 좋아해서 봤는데 한 때는 하루에 한 번씩 꼭 볼 정도로 중독성도 있어요...강추합니다 이번에 재개봉하는데 친구랑 같이 보러가려고 합니다"
"2842","극장판 귀멸의 칼날: 무한열차편","2","싸패를 그린 영화인줄알았는데 히어로물이라니 ㄷㄷ"
"2843","클로젯","10","최고의영화  웅장이가슴해집니다."
"2844","수상한 가족","10","최고의영화  웅장이가슴해집니다."
"2845","톰과 제리","9","전쟁영화 이런 것도 싫고해서 안 봤는데 평점이 너무 좋아서 보기 시작함 초반엔 좀 지루하다 채널 돌려서 다른 채널 볼까 하다가 결국 끝까지봄진짜 재미있음마지막이 좀 ㅠㅠ 해피엔드 인 거 같으면서 아닌 거 같은 느낌 뭔지 모르겠음 내가 봤던 영화상 주인공의 결말은 너무 불쌍함 ㅠ하지만 엄청 감동임"
"2846","극장판 귀멸의 칼날: 무한열차편","10","인생작 코미디 속에 잔잔한 감동 쓰나미"
"2847","세자매","10","보통 영화 끝나고나면 수군수군거리는데진짜 조용하더라....나랑 친구도 영화 끝나고 3분동안 아무말없이 앉아있었음..."
"2848","해리 포터와 마법사의 돌","8","오랜만에 연출과 음악이 감동적인 애니가 나왔네요. 추천 드리는 영화입니다."
"2849","검객","10","전투씬 진짜 레전드야 존잼"
"2850","극장판 귀멸의 칼날: 무한열차편","9","슬픔도 표출할 수 없는 억눌림이 깨뜨림, 파괴로 해소되는 아이러니. 철저히 망가진 후에 찾아온 삶의 평온과 위안."
"2851","루킹 글라스","10","정말 이만한 영화는 없었고, 앞으로도 없을것이고,내 인생동안 이런 영화는 처음이였고, 내 인생에 이만큼이나 영향을 준 영화는 이 영화가 처음이었다....이건...꼭봐라 보고 나서 욕을해도 좋다.반드시봐라.좋은의미든 나쁜의미로든 이 영화는 @너의 인생에 무조건 영향을 줄것이다."
"2852","극장판 귀멸의 칼날: 무한열차편","10","역시 믿고 보는 디즈니입니다..!! 애니메이션 보다가 감동받아서 울컥하게되네요 목적만을 찾는 내 삶보단 하루하루 소소한 즐거움을 느끼며 살아가고 싶어요"
"2853","클로젯","8",""
"2854","수상한 가족","10","연기에 놀라고 탭댄스에 또 놀라고 적절한 OST 선택에 놀라는데 영상미까지 좋음"
"2855","톰과 제리","10","최근에밨던영화중에 최고입니다 많은교훈을 주네요 어른들이한번씩보면 좋은영화입니다 꼭보세요 돈안아까운영화~"
"2856","극장판 귀멸의 칼날: 무한열차편","10",""
"2857","세자매","10","사과안끊어지게 깍는거 너무웃긴다"
"2858","해리 포터와 마법사의 돌","8","웃을일 없는 요즘 전좋았어요!"
"2859","검객","2","중국 자위영화인듯평소에 못하는거 다집어넣고 시나리오쓰고 앉아있네....자국민 수준이 어떤지 알수있는 영화인듯"
